period: 68   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 69   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 70   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 71   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 72   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 73   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 74   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 75   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 76   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 77   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 78   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 79   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 80   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 81   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 82   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 83   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 84   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 85   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 86   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 87   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 88   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 89   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 90   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 91   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 92   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 93   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 94   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 95   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 96   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 97   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 98   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 99   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 100   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 101   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 102   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 103   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 104   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 105   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 106   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 107   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 108   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 109   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 110   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 111   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 112   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 113   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 114   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 115   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 116   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 117   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 118   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 119   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 120   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 121   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 122   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 123   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 124   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 125   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 126   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 127   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 128   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 129   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 130   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 131   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 132   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 133   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 134   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 135   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 136   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 137   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 138   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 139   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 140   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 141   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 142   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 143   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 144   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 145   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 146   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 147   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 148   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 149   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 150   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 151   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 152   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 153   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 154   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 155   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 156   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 157   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 158   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 159   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 160   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 161   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 162   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 163   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 164   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 165   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 166   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 167   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 168   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 169   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 170   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 171   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 172   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 173   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 174   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 175   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 176   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 177   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 178   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 179   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 180   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 181   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 182   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 183   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 184   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 185   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 186   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 187   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 188   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 189   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 190   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 191   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 192   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 193   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 194   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 195   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 196   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 197   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 198   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 199   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 200   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 201   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 202   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 203   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 204   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 205   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 206   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 207   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
